M1_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage,M2_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage
16110,131,131,0,102,0,14531,147,147,45,122,386
15848,128,128,0,102,102,14192,144,144,0,122,508
15592,126,126,0,102,204,13904,142,142,0,122,630
15340,123,123,0,102,306,13620,140,140,0,122,752
15094,120,120,0,102,408,13340,138,138,0,122,874
14854,118,118,0,102,510,13064,136,136,0,122,996
14618,115,115,35,102,612,12792,134,134,0,122,20
14353,113,113,0,102,714,12524,131,131,0,122,142
14127,110,110,0,102,816,12262,129,129,0,122,264
13907,108,108,0,102,918,12004,127,127,0,122,386
13691,106,106,0,102,0,11750,125,125,38,122,508
13479,103,103,0,102,102,11462,123,123,0,122,630
13273,100,100,0,102,204,11216,122,122,0,122,752
13073,98,98,0,102,306,10972,120,120,0,122,874
12877,96,96,0,102,408,10732,118,118,0,122,996
12685,93,93,28,102,510,10496,116,116,0,122,20
12471,91,91,0,102,612,10264,114,114,0,122,142
12289,88,88,0,102,714,10036,112,112,0,122,264
12113,86,86,0,102,816,9812,111,111,0,122,386
11941,84,84,0,102,918,9590,109,109,0,122,508
11773,82,82,0,102,0,9372,107,107,33,122,630
11609,79,79,0,102,102,9125,106,106,0,122,752
11451,77,77,0,102,204,8913,104,104,0,122,874
11297,74,74,0,102,306,8705,103,103,0,122,996
11149,72,72,22,102,408,8499,101,101,0,122,20
10983,70,70,0,102,510,8297,100,100,0,122,142
10843,68,68,0,102,612,8097,98,98,0,122,264
10707,65,65,0,102,714,7901,97,97,0,122,386
10577,63,63,0,102,816,7707,95,95,0,122,508
10451,61,61,0,102,918,7517,94,94,0,122,630
10329,59,59,0,102,0,7329,93,93,28,122,752
10211,56,56,0,102,102,7115,92,92,0,122,874
10099,54,54,0,102,204,6931,91,91,0,122,996
9991,52,52,16,102,306,6749,89,89,0,122,20
9871,50,50,0,102,408,6571,88,88,0,122,142
9771,48,48,0,102,510,6395,87,87,0,122,264
9675,45,45,0,102,612,6221,86,86,0,122,386
9585,43,43,0,102,714,6049,85,85,0,122,508
9499,41,41,0,102,816,5879,84,84,0,122,630
9417,39,39,0,102,918,5711,83,83,0,122,752
9339,37,37,0,102,0,5545,83,83,25,122,874
9265,34,34,0,102,102,5354,82,82,0,122,996
9197,32,32,10,102,204,5190,81,81,0,122,20
9123,30,30,0,102,306,5028,80,80,0,122,142
9063,28,28,0,102,408,4868,80,80,0,122,264
9007,25,25,0,102,510,4708,79,79,0,122,386
8957,23,23,0,102,612,4550,79,79,0,122,508
8911,21,21,0,102,714,4392,78,78,0,122,630
8869,19,19,0,102,816,4236,78,78,0,122,752
8831,16,16,0,102,918,4080,77,77,0,122,874
8799,14,14,0,102,0,3926,77,77,24,122,996
8771,11,11,4,102,102,3748,76,76,0,122,20
8745,9,9,0,102,204,3596,76,76,0,122,142
8727,6,6,0,102,306,3444,76,76,0,122,264
8715,4,4,0,102,408,3292,76,76,0,122,386
8707,1,1,0,102,510,3140,76,76,0,122,508
8705,-1,-1,0,102,612,2988,76,76,0,122,630
8707,-4,-4,0,102,714,2836,76,76,0,122,752
8715,-7,-7,0,102,816,2684,76,76,0,122,874
8729,-10,-10,0,102,918,2532,76,76,0,122,996
8749,-12,-12,-3,102,0,2380,76,76,23,122,20
8776,-16,-16,0,102,102,2205,77,77,0,122,142
8808,-19,-19,0,102,204,2051,77,77,0,122,264
8846,-22,-22,0,102,306,1897,77,77,0,122,386
8890,-25,-25,0,102,408,1743,78,78,0,122,508
8940,-29,-29,0,102,510,1587,78,78,0,122,630
8998,-33,-33,0,102,612,1431,79,79,0,122,752
9064,-37,-37,0,102,714,1273,80,80,0,122,874
9138,-41,-41,0,102,816,1113,80,80,0,122,996
9220,-45,-45,-13,102,918,953,81,81,0,122,20
9323,-50,-50,0,102,0,791,82,82,25,122,142
9423,-57,-57,0,102,102,602,84,84,0,122,264
9537,-63,-63,0,102,204,434,85,85,0,122,386
9663,-71,-71,0,102,306,264,86,86,0,122,508
9805,-83,-83,0,102,408,92,88,88,0,122,630
