M1_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage,M2_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage
6465,144,144,0,102,0,5356,159,159,48,122,386
6177,139,139,0,102,102,4990,156,156,0,122,508
5899,134,134,0,102,204,4678,152,152,0,122,630
5631,130,130,0,102,306,4374,149,149,0,122,752
5371,125,125,0,102,408,4076,145,145,0,122,874
5121,121,121,0,102,510,3786,142,142,0,122,996
4879,116,116,41,102,612,3502,138,138,0,122,20
4606,112,112,0,102,714,3226,134,134,0,122,142
4382,107,107,0,102,816,2958,131,131,0,122,264
4168,102,102,0,102,918,2696,128,128,0,122,386
3964,97,97,0,102,0,2440,125,125,38,122,508
3770,91,91,0,102,102,2152,122,122,0,122,630
3588,86,86,0,102,204,1908,119,119,0,122,752
3416,80,80,0,102,306,1670,116,116,0,122,874
3256,75,75,0,102,408,1438,113,113,0,122,996
3106,69,69,25,102,510,1212,110,110,0,122,20
2943,62,62,0,102,612,992,108,108,0,122,142
2819,55,55,0,102,714,776,105,105,0,122,264
2709,47,47,0,102,816,566,103,103,0,122,386
2615,38,38,0,102,918,360,101,101,0,122,508
2539,25,25,0,102,0,158,100,100,30,122,630
