M1_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage,M2_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage
100000,587,587,0,102,102,100000,592,592,0,122,122
98826,584,584,0,102,204,98816,589,589,0,122,244
97658,580,580,0,102,306,97638,585,585,0,122,366
96498,577,577,0,102,408,96468,582,582,0,122,488
95344,573,573,0,102,510,95304,578,578,0,122,610
94198,570,570,0,102,612,94148,575,575,0,122,732
93058,566,566,0,102,714,92998,571,571,0,122,854
91926,563,563,0,102,816,91856,568,568,0,122,976
90800,559,559,196,102,918,90720,564,564,0,122,20
89486,556,556,0,102,0,89592,560,560,168,122,142
88374,552,552,0,102,102,88304,557,557,0,122,264
87270,548,548,0,102,204,87190,553,553,0,122,386
86174,545,545,0,102,306,86084,550,550,0,122,508
85084,541,541,0,102,408,84984,546,546,0,122,630
84002,538,538,0,102,510,83892,543,543,0,122,752
82926,534,534,0,102,612,82806,539,539,0,122,874
81858,531,531,0,102,714,81728,536,536,0,122,996
80796,527,527,185,102,816,80656,532,532,0,122,20
79557,524,524,0,102,918,79592,528,528,0,122,142
78509,520,520,0,102,0,78536,525,525,158,122,264
77469,516,516,0,102,102,77328,521,521,0,122,386
76437,513,513,0,102,204,76286,518,518,0,122,508
75411,509,509,0,102,306,75250,514,514,0,122,630
74393,506,506,0,102,408,74222,511,511,0,122,752
73381,502,502,0,102,510,73200,507,507,0,122,874
72377,499,499,0,102,612,72186,504,504,0,122,996
71379,495,495,174,102,714,71178,500,500,0,122,20
70215,492,492,0,102,816,70178,496,496,0,122,142
69231,488,488,0,102,918,69186,493,493,0,122,264
68255,485,485,0,102,0,68200,489,489,147,122,386
67285,481,481,0,102,102,67075,486,486,0,122,508
66323,477,477,0,102,204,66103,482,482,0,122,630
65369,474,474,0,102,306,65139,479,479,0,122,752
64421,470,470,0,102,408,64181,475,475,0,122,874
63481,467,467,0,102,510,63231,472,472,0,122,996
62547,463,463,163,102,612,62287,468,468,0,122,20
61458,460,460,0,102,714,61351,464,464,0,122,142
60538,456,456,0,102,816,60423,461,461,0,122,264
59626,453,453,0,102,918,59501,457,457,0,122,386
58720,449,449,0,102,0,58587,454,454,137,122,508
57822,445,445,0,102,102,57542,450,450,0,122,630
56932,442,442,0,102,204,56642,447,447,0,122,752
56048,438,438,0,102,306,55748,443,443,0,122,874
55172,435,435,0,102,408,54862,440,440,0,122,996
54302,431,431,151,102,510,53982,436,436,0,122,20
53289,428,428,0,102,612,53110,432,432,0,122,142
52433,424,424,0,102,714,52246,429,429,0,122,264
51585,421,421,0,102,816,51388,425,425,0,122,386
50743,417,417,0,102,918,50538,422,422,0,122,508
49909,414,414,0,102,0,49694,418,418,126,122,630
49081,410,410,0,102,102,48732,415,415,0,122,752
48261,406,406,0,102,204,47902,411,411,0,122,874
47449,403,403,0,102,306,47080,408,408,0,122,996
46643,399,399,140,102,408,46264,404,404,0,122,20
45705,396,396,0,102,510,45456,400,400,0,122,142
44913,392,392,0,102,612,44656,397,397,0,122,264
44129,389,389,0,102,714,43862,393,393,0,122,386
43351,385,385,0,102,816,43076,390,390,0,122,508
42581,382,382,0,102,918,42296,387,387,0,122,630
41817,378,378,0,102,0,41522,383,383,115,122,752
41061,374,374,0,102,102,40641,380,380,0,122,874
40313,371,371,0,102,204,39881,376,376,0,122,996
39571,367,367,129,102,306,39129,373,373,0,122,20
38708,364,364,0,102,408,38383,369,369,0,122,142
37980,360,360,0,102,510,37645,365,365,0,122,264
37260,357,357,0,102,612,36915,362,362,0,122,386
36546,353,353,0,102,714,36191,358,358,0,122,508
35840,350,350,0,102,816,35475,355,355,0,122,630
35140,346,346,0,102,918,34765,351,351,0,122,752
34448,343,343,0,102,0,34063,348,348,105,122,874
33762,339,339,0,102,102,33262,344,344,0,122,996
