M1_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage,M2_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage
100000,534,534,0,102,102,100000,538,538,0,122,122
98932,531,531,0,102,204,98924,535,535,0,122,244
97870,528,528,0,102,306,97854,533,533,0,122,366
96814,525,525,0,102,408,96788,530,530,0,122,488
95764,522,522,0,102,510,95728,527,527,0,122,610
94720,519,519,0,102,612,94674,524,524,0,122,732
93682,516,516,0,102,714,93626,521,521,0,122,854
92650,514,514,0,102,816,92584,518,518,0,122,976
91622,511,511,154,102,918,91548,515,515,0,122,20
90446,508,508,0,102,0,90518,512,512,154,122,142
89430,504,504,0,102,102,89340,509,509,0,122,264
88422,502,502,0,102,204,88322,506,506,0,122,386
87418,499,499,0,102,306,87310,503,503,0,122,508
86420,496,496,0,102,408,86304,500,500,0,122,630
85428,493,493,0,102,510,85304,498,498,0,122,752
84442,490,490,0,102,612,84308,495,495,0,122,874
83462,487,487,0,102,714,83318,492,492,0,122,996
82488,484,484,146,102,816,82334,489,489,0,122,20
81374,481,481,0,102,918,81356,486,486,0,122,142
80412,479,479,0,102,0,80384,483,483,145,122,264
79454,475,475,0,102,102,79273,480,480,0,122,386
78504,472,472,0,102,204,78313,477,477,0,122,508
77560,469,469,0,102,306,77359,474,474,0,122,630
76622,467,467,0,102,408,76411,471,471,0,122,752
75688,464,464,0,102,510,75469,468,468,0,122,874
74760,461,461,0,102,612,74533,465,465,0,122,996
73838,458,458,138,102,714,73603,463,463,0,122,20
72784,455,455,0,102,816,72677,459,459,0,122,142
71874,452,452,0,102,918,71759,456,456,0,122,264
70970,449,449,0,102,0,70847,454,454,137,122,386
70072,446,446,0,102,102,69802,451,451,0,122,508
69180,443,443,0,102,204,68900,448,448,0,122,630
68294,440,440,0,102,306,68004,445,445,0,122,752
67414,437,437,0,102,408,67114,442,442,0,122,874
66540,434,434,0,102,510,66230,439,439,0,122,996
65672,432,432,130,102,612,65352,436,436,0,122,20
64678,429,429,0,102,714,64480,433,433,0,122,142
63820,426,426,0,102,816,63614,430,430,0,122,264
62968,423,423,0,102,918,62754,427,427,0,122,386
62122,420,420,0,102,0,61900,424,424,128,122,508
61282,417,417,0,102,102,60924,421,421,0,122,630
60448,414,414,0,102,204,60082,419,419,0,122,752
59620,411,411,0,102,306,59244,416,416,0,122,874
58798,408,408,0,102,408,58412,413,413,0,122,996
57982,405,405,122,102,510,57586,410,410,0,122,20
57050,402,402,0,102,612,56766,407,407,0,122,142
56246,399,399,0,102,714,55952,404,404,0,122,264
55448,396,396,0,102,816,55144,401,401,0,122,386
54656,394,394,0,102,918,54342,398,398,0,122,508
53868,391,391,0,102,0,53546,395,395,119,122,630
53086,387,387,0,102,102,52637,392,392,0,122,752
52312,384,384,0,102,204,51853,389,389,0,122,874
51544,382,382,0,102,306,51075,387,387,0,122,996
50780,379,379,114,102,408,50301,384,384,0,122,20
49908,376,376,0,102,510,49533,380,380,0,122,142
49156,373,373,0,102,612,48773,378,378,0,122,264
48410,370,370,0,102,714,48017,375,375,0,122,386
47670,367,367,0,102,816,47267,372,372,0,122,508
46936,364,364,0,102,918,46523,369,369,0,122,630
46208,361,361,0,102,0,45785,366,366,110,122,752
45486,358,358,0,102,102,44943,363,363,0,122,874
44770,355,355,0,102,204,44217,360,360,0,122,996
44060,352,352,106,102,306,43497,357,357,0,122,20
43250,349,349,0,102,408,42783,354,354,0,122,142
42552,346,346,0,102,510,42075,351,351,0,122,264
41860,343,343,0,102,612,41373,348,348,0,122,386
41174,341,341,0,102,714,40677,346,346,0,122,508
40492,338,338,0,102,816,39985,343,343,0,122,630
39816,335,335,0,102,918,39299,340,340,0,122,752
39146,332,332,0,102,0,38619,337,337,102,122,874
38482,329,329,0,102,102,37843,334,334,0,122,996
37824,326,326,98,102,204,37175,331,331,0,122,20
37074,323,323,0,102,306,36513,328,328,0,122,142
36428,320,320,0,102,408,35857,325,325,0,122,264
35788,317,317,0,102,510,35207,322,322,0,122,386
35154,314,314,0,102,612,34563,319,319,0,122,508
34526,311,311,0,102,714,33925,316,316,0,122,630
33904,308,308,0,102,816,33293,314,314,0,122,752
33288,305,305,0,102,918,32665,311,311,0,122,874
32678,302,302,0,102,0,32043,308,308,93,122,996
32074,299,299,90,102,102,31334,305,305,0,122,20
31386,296,296,0,102,204,30724,302,302,0,122,142
30794,293,293,0,102,306,30120,299,299,0,122,264
30208,290,290,0,102,408,29522,296,296,0,122,386
