M1_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage,M2_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage
100000,574,574,0,102,102,100000,579,579,0,122,122
98852,570,570,0,102,204,98842,575,575,0,122,244
97712,567,567,0,102,306,97692,572,572,0,122,366
96578,564,564,0,102,408,96548,569,569,0,122,488
95450,560,560,0,102,510,95410,565,565,0,122,610
94330,557,557,0,102,612,94280,562,562,0,122,732
93216,554,554,0,102,714,93156,559,559,0,122,854
92108,550,550,0,102,816,92038,555,555,0,122,976
91008,547,547,192,102,918,90928,552,552,0,122,20
89722,544,544,0,102,0,89824,548,548,165,122,142
88634,540,540,0,102,102,88563,545,545,0,122,264
87554,537,537,0,102,204,87473,541,541,0,122,386
86480,533,533,0,102,306,86391,538,538,0,122,508
85414,530,530,0,102,408,85315,535,535,0,122,630
84354,527,527,0,102,510,84245,531,531,0,122,752
83300,523,523,0,102,612,83183,528,528,0,122,874
82254,520,520,0,102,714,82127,525,525,0,122,996
81214,517,517,181,102,816,81077,521,521,0,122,20
79999,513,513,0,102,918,80035,518,518,0,122,142
78973,510,510,0,102,0,78999,514,514,155,122,264
77953,506,506,0,102,102,77816,511,511,0,122,386
76941,503,503,0,102,204,76794,508,508,0,122,508
75935,499,499,0,102,306,75778,504,504,0,122,630
74937,496,496,0,102,408,74770,501,501,0,122,752
73945,493,493,0,102,510,73768,498,498,0,122,874
72959,489,489,0,102,612,72772,494,494,0,122,996
71981,486,486,171,102,714,71784,491,491,0,122,20
70838,483,483,0,102,816,70802,487,487,0,122,142
69872,479,479,0,102,918,69828,484,484,0,122,264
68914,476,476,0,102,0,68860,480,480,144,122,386
67962,472,472,0,102,102,67756,477,477,0,122,508
67018,469,469,0,102,204,66802,474,474,0,122,630
66080,466,466,0,102,306,65854,470,470,0,122,752
65148,462,462,0,102,408,64914,467,467,0,122,874
64224,459,459,0,102,510,63980,464,464,0,122,996
63306,456,456,160,102,612,63052,460,460,0,122,20
62234,452,452,0,102,714,62132,457,457,0,122,142
61330,449,449,0,102,816,61218,453,453,0,122,264
60432,446,446,0,102,918,60312,450,450,0,122,386
59540,442,442,0,102,0,59412,447,447,135,122,508
