M1_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage,M2_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage
100000,587,587,0,102,102,100000,592,592,0,122,122
98826,584,584,0,102,204,98816,589,589,0,122,244
97658,580,580,0,102,306,97638,585,585,0,122,366
96498,577,577,0,102,408,96468,582,582,0,122,488
95344,573,573,0,102,510,95304,578,578,0,122,610
94198,570,570,0,102,612,94148,575,575,0,122,732
93058,566,566,0,102,714,92998,571,571,0,122,854
91926,563,563,0,102,816,91856,568,568,0,122,976
90800,559,559,168,102,918,90720,564,564,0,122,20
89514,556,556,0,102,0,89592,560,560,168,122,142
88402,552,552,0,102,102,88304,557,557,0,122,264
87298,548,548,0,102,204,87190,553,553,0,122,386
86202,545,545,0,102,306,86084,550,550,0,122,508
85112,541,541,0,102,408,84984,546,546,0,122,630
84030,538,538,0,102,510,83892,543,543,0,122,752
82954,534,534,0,102,612,82806,539,539,0,122,874
81886,531,531,0,102,714,81728,536,536,0,122,996
80824,527,527,159,102,816,80656,532,532,0,122,20
79611,524,524,0,102,918,79592,528,528,0,122,142
78563,520,520,0,102,0,78536,525,525,158,122,264
77523,516,516,0,102,102,77328,521,521,0,122,386
76491,513,513,0,102,204,76286,518,518,0,122,508
75465,509,509,0,102,306,75250,514,514,0,122,630
74447,506,506,0,102,408,74222,511,511,0,122,752
73435,502,502,0,102,510,73200,507,507,0,122,874
72431,499,499,0,102,612,72186,504,504,0,122,996
71433,495,495,149,102,714,71178,500,500,0,122,20
70294,492,492,0,102,816,70178,496,496,0,122,142
69310,488,488,0,102,918,69186,493,493,0,122,264
68334,485,485,0,102,0,68200,489,489,147,122,386
67364,481,481,0,102,102,67075,486,486,0,122,508
66402,477,477,0,102,204,66103,483,483,0,122,630
65448,474,474,0,102,306,65137,479,479,0,122,752
64500,470,470,0,102,408,64179,476,476,0,122,874
63560,467,467,0,102,510,63227,472,472,0,122,996
62626,463,463,139,102,612,62283,469,469,0,122,20
61561,460,460,0,102,714,61345,465,465,0,122,142
60641,456,456,0,102,816,60415,461,461,0,122,264
59729,453,453,0,102,918,59493,458,458,0,122,386
58823,449,449,0,102,0,58577,454,454,137,122,508
57925,445,445,0,102,102,57532,451,451,0,122,630
57035,442,442,0,102,204,56630,447,447,0,122,752
56151,438,438,0,102,306,55736,444,444,0,122,874
55275,435,435,0,102,408,54848,440,440,0,122,996
54405,431,431,130,102,510,53968,437,437,0,122,20
53413,428,428,0,102,612,53094,433,433,0,122,142
52557,424,424,0,102,714,52228,429,429,0,122,264
51709,421,421,0,102,816,51370,426,426,0,122,386
50867,417,417,0,102,918,50518,422,422,0,122,508
50033,414,414,0,102,0,49674,419,419,126,122,630
49205,410,410,0,102,102,48710,415,415,0,122,752
48385,406,406,0,102,204,47880,412,412,0,122,874
47573,403,403,0,102,306,47056,409,409,0,122,996
46767,399,399,120,102,408,46238,405,405,0,122,20
45849,396,396,0,102,510,45428,401,401,0,122,142
45057,392,392,0,102,612,44626,398,398,0,122,264
44273,389,389,0,102,714,43830,394,394,0,122,386
43495,385,385,0,102,816,43042,391,391,0,122,508
42725,382,382,0,102,918,42260,387,387,0,122,630
41961,378,378,0,102,0,41486,384,384,116,122,752
41205,374,374,0,102,102,40602,380,380,0,122,874
40457,371,371,0,102,204,39842,377,377,0,122,996
39715,367,367,111,102,306,39088,373,373,0,122,20
38870,364,364,0,102,408,38342,369,369,0,122,142
38142,360,360,0,102,510,37604,366,366,0,122,264
37422,357,357,0,102,612,36872,362,362,0,122,386
36708,353,353,0,102,714,36148,359,359,0,122,508
36002,350,350,0,102,816,35430,355,355,0,122,630
35302,346,346,0,102,918,34720,352,352,0,122,752
34610,343,343,0,102,0,34016,349,349,105,122,874
33924,339,339,0,102,102,33213,345,345,0,122,996
