M1_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage,M2_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage
100000,614,614,0,102,102,100000,619,619,0,122,122
98772,609,609,0,102,204,98762,614,614,0,122,244
97554,604,604,0,102,306,97534,609,609,0,122,366
96346,599,599,0,102,408,96316,605,605,0,122,488
95148,595,595,0,102,510,95106,600,600,0,122,610
93958,590,590,0,102,612,93906,595,595,0,122,732
92778,585,585,0,102,714,92716,591,591,0,122,854
91608,581,581,0,102,816,91534,586,586,0,122,976
90446,576,576,202,102,918,90362,581,581,0,122,20
89092,571,571,0,102,0,89200,576,576,173,122,142
87950,566,566,0,102,102,87875,571,571,0,122,264
86818,562,562,0,102,204,86733,567,567,0,122,386
85694,557,557,0,102,306,85599,562,562,0,122,508
84580,553,553,0,102,408,84475,558,558,0,122,630
83474,548,548,0,102,510,83359,553,553,0,122,752
82378,544,544,0,102,612,82253,549,549,0,122,874
81290,539,539,0,102,714,81155,544,544,0,122,996
80212,535,535,188,102,816,80067,540,540,0,122,20
78954,531,531,0,102,918,78987,535,535,0,122,142
77892,526,526,0,102,0,77917,531,531,160,122,264
76840,521,521,0,102,102,76695,526,526,0,122,386
75798,517,517,0,102,204,75643,522,522,0,122,508
74764,513,513,0,102,306,74599,518,518,0,122,630
73738,508,508,0,102,408,73563,513,513,0,122,752
72722,504,504,0,102,510,72537,509,509,0,122,874
71714,500,500,0,102,612,71519,505,505,0,122,996
70714,496,496,174,102,714,70509,501,501,0,122,20
69548,491,491,0,102,816,69507,496,496,0,122,142
68566,487,487,0,102,918,68515,492,492,0,122,264
67592,483,483,0,102,0,67531,487,487,147,122,386
66626,478,478,0,102,102,66410,483,483,0,122,508
65670,474,474,0,102,204,65444,479,479,0,122,630
64722,470,470,0,102,306,64486,475,475,0,122,752
63782,466,466,0,102,408,63536,471,471,0,122,874
62850,462,462,0,102,510,62594,467,467,0,122,996
61926,458,458,161,102,612,61660,463,463,0,122,20
60849,454,454,0,102,714,60734,458,458,0,122,142
59941,450,450,0,102,816,59818,454,454,0,122,264
59041,446,446,0,102,918,58910,450,450,0,122,386
58149,442,442,0,102,0,58010,446,446,134,122,508
57265,437,437,0,102,102,56984,442,442,0,122,630
56391,433,433,0,102,204,56100,438,438,0,122,752
55525,430,430,0,102,306,55224,435,435,0,122,874
54665,426,426,0,102,408,54354,431,431,0,122,996
53813,422,422,148,102,510,53492,427,427,0,122,20
52821,418,418,0,102,612,52638,422,422,0,122,142
51985,414,414,0,102,714,51794,418,418,0,122,264
51157,410,410,0,102,816,50958,415,415,0,122,386
50337,406,406,0,102,918,50128,411,411,0,122,508
49525,403,403,0,102,0,49306,407,407,123,122,630
48719,398,398,0,102,102,48369,403,403,0,122,752
47923,394,394,0,102,204,47563,400,400,0,122,874
47135,391,391,0,102,306,46763,396,396,0,122,996
46353,387,387,136,102,408,45971,392,392,0,122,20
45443,383,383,0,102,510,45187,388,388,0,122,142
44677,379,379,0,102,612,44411,384,384,0,122,264
43919,376,376,0,102,714,43643,380,380,0,122,386
43167,372,372,0,102,816,42883,377,377,0,122,508
42423,368,368,0,102,918,42129,373,373,0,122,630
41687,365,365,0,102,0,41383,369,369,111,122,752
40957,361,361,0,102,102,40534,366,366,0,122,874
40235,357,357,0,102,204,39802,362,362,0,122,996
39521,353,353,124,102,306,39078,359,359,0,122,20
38691,350,350,0,102,408,38360,354,354,0,122,142
37991,346,346,0,102,510,37652,351,351,0,122,264
37299,343,343,0,102,612,36950,347,347,0,122,386
36613,339,339,0,102,714,36256,344,344,0,122,508
35935,335,335,0,102,816,35568,340,340,0,122,630
35265,332,332,0,102,918,34888,337,337,0,122,752
34601,328,328,0,102,0,34214,333,333,100,122,874
33945,324,324,0,102,102,33448,330,330,0,122,996
33297,321,321,113,102,204,32788,326,326,0,122,20
32542,317,317,0,102,306,32136,322,322,0,122,142
31908,314,314,0,102,408,31492,319,319,0,122,264
31280,310,310,0,102,510,30854,315,315,0,122,386
30660,307,307,0,102,612,30224,312,312,0,122,508
30046,303,303,0,102,714,29600,309,309,0,122,630
29440,300,300,0,102,816,28982,305,305,0,122,752
28840,297,297,0,102,918,28372,302,302,0,122,874
28246,293,293,0,102,0,27768,298,298,90,122,996
27660,289,289,102,102,102,27082,295,295,0,122,20
26980,286,286,0,102,204,26492,291,291,0,122,142
26408,282,282,0,102,306,25910,288,288,0,122,264
25844,279,279,0,102,408,25334,284,284,0,122,386
25286,276,276,0,102,510,24766,281,281,0,122,508
