M1_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage,M2_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage
100000,619,619,0,102,102,100000,624,624,0,122,122
98762,615,615,0,102,204,98752,620,620,0,122,244
97532,611,611,0,102,306,97512,617,617,0,122,366
96310,607,607,0,102,408,96278,613,613,0,122,488
95096,604,604,0,102,510,95052,609,609,0,122,610
93888,600,600,0,102,612,93834,605,605,0,122,732
92688,596,596,0,102,714,92624,601,601,0,122,854
91496,592,592,0,102,816,91422,597,597,0,122,976
90312,588,588,177,102,918,90228,593,593,0,122,20
88959,584,584,0,102,0,89042,589,589,177,122,142
87791,580,580,0,102,102,87687,585,585,0,122,264
86631,576,576,0,102,204,86517,581,581,0,122,386
85479,572,572,0,102,306,85355,577,577,0,122,508
84335,568,568,0,102,408,84201,573,573,0,122,630
83199,564,564,0,102,510,83055,569,569,0,122,752
82071,560,560,0,102,612,81917,566,566,0,122,874
80951,556,556,0,102,714,80785,562,562,0,122,996
79839,553,553,166,102,816,79661,558,558,0,122,20
78567,549,549,0,102,918,78545,553,553,0,122,142
77469,545,545,0,102,0,77439,550,550,165,122,264
76379,540,540,0,102,102,76174,546,546,0,122,386
75299,536,536,0,102,204,75082,542,542,0,122,508
74227,533,533,0,102,306,73998,538,538,0,122,630
73161,529,529,0,102,408,72922,534,534,0,122,752
72103,525,525,0,102,510,71854,530,530,0,122,874
71053,521,521,0,102,612,70794,526,526,0,122,996
70011,517,517,156,102,714,69742,522,522,0,122,20
68821,513,513,0,102,816,68698,518,518,0,122,142
67795,509,509,0,102,918,67662,514,514,0,122,264
66777,505,505,0,102,0,66634,510,510,153,122,386
65767,501,501,0,102,102,65461,506,506,0,122,508
64765,497,497,0,102,204,64449,503,503,0,122,630
63771,493,493,0,102,306,63443,499,499,0,122,752
62785,489,489,0,102,408,62445,495,495,0,122,874
61807,485,485,0,102,510,61455,491,491,0,122,996
60837,481,481,145,102,612,60473,487,487,0,122,20
59730,478,478,0,102,714,59499,483,483,0,122,142
58774,474,474,0,102,816,58533,479,479,0,122,264
57826,470,470,0,102,918,57575,475,475,0,122,386
56886,466,466,0,102,0,56625,471,471,142,122,508
55954,461,461,0,102,102,55541,467,467,0,122,630
55032,458,458,0,102,204,54607,463,463,0,122,752
54116,454,454,0,102,306,53681,459,459,0,122,874
53208,450,450,0,102,408,52763,456,456,0,122,996
52308,446,446,134,102,510,51851,452,452,0,122,20
51282,442,442,0,102,612,50947,447,447,0,122,142
50398,438,438,0,102,714,50053,443,443,0,122,264
49522,434,434,0,102,816,49167,439,439,0,122,386
48654,430,430,0,102,918,48289,436,436,0,122,508
