M1_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage,M2_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage
100000,587,587,0,102,102,100000,592,592,0,122,122
98826,577,577,0,102,204,98816,582,582,0,122,244
97672,566,566,0,102,306,97652,572,572,0,122,366
96540,557,557,0,102,408,96508,562,562,0,122,488
95426,547,547,0,102,510,95384,552,552,0,122,610
94332,537,537,0,102,612,94280,542,542,0,122,732
93258,528,528,0,102,714,93196,533,533,0,122,854
92202,519,519,0,102,816,92130,524,524,0,122,976
91164,510,510,179,102,918,91082,515,515,0,122,20
89965,502,502,0,102,0,90052,505,505,152,122,142
88961,492,492,0,102,102,88890,497,497,0,122,264
87977,484,484,0,102,204,87896,489,489,0,122,386
87009,476,476,0,102,306,86918,481,481,0,122,508
86057,468,468,0,102,408,85956,473,473,0,122,630
85121,460,460,0,102,510,85010,465,465,0,122,752
84201,453,453,0,102,612,84080,458,458,0,122,874
83295,445,445,0,102,714,83164,450,450,0,122,996
82405,438,438,154,102,816,82264,443,443,0,122,20
81375,431,431,0,102,918,81378,435,435,0,122,142
80513,424,424,0,102,0,80508,428,428,129,122,264
79665,416,416,0,102,102,79523,421,421,0,122,386
78833,410,410,0,102,204,78681,415,415,0,122,508
78013,403,403,0,102,306,77851,408,408,0,122,630
77207,397,397,0,102,408,77035,402,402,0,122,752
76413,391,391,0,102,510,76231,396,396,0,122,874
75631,385,385,0,102,612,75439,390,390,0,122,996
74861,379,379,133,102,714,74659,384,384,0,122,20
73970,373,373,0,102,816,73891,377,377,0,122,142
73224,367,367,0,102,918,73137,371,371,0,122,264
72490,362,362,0,102,0,72395,366,366,110,122,386
71766,355,355,0,102,102,71553,360,360,0,122,508
71056,350,350,0,102,204,70833,355,355,0,122,630
70356,345,345,0,102,306,70123,350,350,0,122,752
69666,340,340,0,102,408,69423,344,344,0,122,874
68986,335,335,0,102,510,68735,339,339,0,122,996
68316,330,330,116,102,612,68057,335,335,0,122,20
67540,325,325,0,102,714,67387,329,329,0,122,142
66890,320,320,0,102,816,66729,324,324,0,122,264
66250,316,316,0,102,918,66081,319,319,0,122,386
65618,311,311,0,102,0,65443,315,315,95,122,508
64996,306,306,0,102,102,64718,310,310,0,122,630
64384,301,301,0,102,204,64098,306,306,0,122,752
63782,297,297,0,102,306,63486,302,302,0,122,874
63188,293,293,0,102,408,62882,298,298,0,122,996
62602,289,289,102,102,510,62286,294,294,0,122,20
61922,285,285,0,102,612,61698,289,289,0,122,142
61352,281,281,0,102,714,61120,285,285,0,122,264
60790,277,277,0,102,816,60550,281,281,0,122,386
60236,273,273,0,102,918,59988,277,277,0,122,508
59690,269,269,0,102,0,59434,273,273,82,122,630
59152,265,265,0,102,102,58806,270,270,0,122,752
58622,261,261,0,102,204,58266,266,266,0,122,874
58100,258,258,0,102,306,57734,262,262,0,122,996
57584,254,254,89,102,408,57210,259,259,0,122,20
56987,251,251,0,102,510,56692,255,255,0,122,142
56485,247,247,0,102,612,56182,252,252,0,122,264
55991,244,244,0,102,714,55678,248,248,0,122,386
55503,241,241,0,102,816,55182,245,245,0,122,508
55021,238,238,0,102,918,54692,242,242,0,122,630
54545,235,235,0,102,0,54208,239,239,72,122,752
54075,231,231,0,102,102,53658,236,236,0,122,874
53613,228,228,0,102,204,53186,233,233,0,122,996
53157,225,225,79,102,306,52720,230,230,0,122,20
52628,222,222,0,102,408,52260,226,226,0,122,142
52184,219,219,0,102,510,51808,223,223,0,122,264
51746,216,216,0,102,612,51362,221,221,0,122,386
51314,214,214,0,102,714,50920,218,218,0,122,508
50886,211,211,0,102,816,50484,215,215,0,122,630
50464,208,208,0,102,918,50054,213,213,0,122,752
50048,206,206,0,102,0,49628,210,210,63,122,874
49636,203,203,0,102,102,49145,207,207,0,122,996
49230,200,200,70,102,204,48731,205,205,0,122,20
48760,198,198,0,102,306,48321,202,202,0,122,142
48364,195,195,0,102,408,47917,199,199,0,122,264
47974,193,193,0,102,510,47519,197,197,0,122,386
47588,190,190,0,102,612,47125,195,195,0,122,508
47208,188,188,0,102,714,46735,192,192,0,122,630
46832,186,186,0,102,816,46351,190,190,0,122,752
46460,183,183,0,102,918,45971,188,188,0,122,874
46094,181,181,0,102,0,45595,186,186,56,122,996
45732,179,179,63,102,102,45167,183,183,0,122,20
45311,176,176,0,102,204,44801,181,181,0,122,142
