M1_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage,M2_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage
100000,1676,1676,0,102,102,100000,1691,1691,0,122,122
96648,1592,1592,0,102,204,96618,1606,1606,0,122,244
93464,1513,1513,0,102,306,93406,1528,1528,0,122,366
90438,1440,1440,0,102,408,90350,1454,1454,0,122,488
87558,1371,1371,0,102,510,87442,1385,1385,0,122,610
84816,1306,1306,0,102,612,84672,1321,1321,0,122,732
82204,1245,1245,0,102,714,82030,1260,1260,0,122,854
79714,1189,1189,0,102,816,79510,1203,1203,0,122,976
77336,1135,1135,398,102,918,77104,1150,1150,0,122,20
74668,1085,1085,0,102,0,74804,1091,1091,328,122,142
72498,1031,1031,0,102,102,72294,1044,1044,0,122,264
70436,986,986,0,102,204,70206,1000,1000,0,122,386
68464,944,944,0,102,306,68206,958,958,0,122,508
66576,905,905,0,102,408,66290,919,919,0,122,630
64766,868,868,0,102,510,64452,881,881,0,122,752
63030,832,832,0,102,612,62690,846,846,0,122,874
61366,799,799,0,102,714,60998,813,813,0,122,996
59768,767,767,269,102,816,59372,781,781,0,122,20
57965,737,737,0,102,918,57810,746,746,0,122,142
56491,709,709,0,102,0,56318,718,718,216,122,264
55073,678,678,0,102,102,54666,691,691,0,122,386
53717,652,652,0,102,204,53284,666,666,0,122,508
52413,628,628,0,102,306,51952,642,642,0,122,630
51157,605,605,0,102,408,50668,619,619,0,122,752
49947,583,583,0,102,510,49430,597,597,0,122,874
48781,562,562,0,102,612,48236,576,576,0,122,996
47657,542,542,190,102,714,47084,557,557,0,122,20
46383,523,523,0,102,816,45970,534,534,0,122,142
45337,505,505,0,102,918,44902,516,516,0,122,264
44327,487,487,0,102,0,43870,499,499,150,122,386
43353,468,468,0,102,102,42722,483,483,0,122,508
42417,453,453,0,102,204,41756,467,467,0,122,630
41511,438,438,0,102,306,40822,453,453,0,122,752
40635,423,423,0,102,408,39916,438,438,0,122,874
39789,409,409,0,102,510,39040,425,425,0,122,996
38971,396,396,139,102,612,38190,412,412,0,122,20
38040,383,383,0,102,714,37366,397,397,0,122,142
37274,371,371,0,102,816,36572,385,385,0,122,264
36532,359,359,0,102,918,35802,374,374,0,122,386
35814,348,348,0,102,0,35054,363,363,109,122,508
35118,336,336,0,102,102,34219,352,352,0,122,630
34446,326,326,0,102,204,33515,342,342,0,122,752
33794,316,316,0,102,306,32831,333,333,0,122,874
33162,306,306,0,102,408,32165,323,323,0,122,996
